title,tag_stem
Silence,drama history catchplay waypoint entertainment cappa defina productions sikelia productions brica cine emmett furla oasis films films sharpsword films jesuit priests travel seventeenth century japan tokugawa shogunate banned catholicism almost foreign contact
Demolition,comedy drama sidney kimmel entertainment mudd production right films black label media emotionally desperate investment banker finds hope woman meets chicago
Green Room,horror crime thriller film science broad green pictures young punk rock band find trapped secluded venue stumbling upon horrific violence
Midnight Special,adventure drama science fiction warner bros faliro house productions tristate pictures father learns child possesses special powers
The Witch,mystery horror parts labor features rooks nest entertainment maiden voyage pictures pulse films scythia films code productions mott street pictures special projects england william katherine lead devout christian life five children homesteading edge impassable wilderness newborn vanishes crops fail family turns another beyond worst fears supernatural evil lurks nearby wood
13 Hours: The Secret Soldiers of Benghazi,action drama history thriller paramount pictures arts entertainment films latina pictures dune films american ambassador killed attack compound libya security team struggles make sense chaos
Gods of Egypt,fantasy summit entertainment mystery clock cinema thunder road pictures films pyramania common thief joins mythical quest egypt
The Jungle Book,family adventure drama fantasy walt disney pictures walt disney studios motion pictures fairview entertainment moving picture company threat tiger shere khan forces flee jungle mancub named mowgli embarks journey self discovery help panther bagheera free spirited bear baloo
Batman v Superman: Dawn of Justice,steel collection action adventure fantasy comics atlas entertainment warner bros entertainment cruel unusual films ratpacdune entertainment fearing actions godlike super hero left unchecked gotham city formidable forceful vigilante takes metropolis revered modernday savior world wrestles sort hero really needs batman superman another threat quickly arises putting mankind greater danger ever known
Star Trek Beyond,star trek alternate reality collection action adventure science fiction paramount pictures robot perfect storm entertainment alibaba pictures group skydance media sneaky shark huahua media enterprise crew explores furthest reaches uncharted space encounter mysterious enemy puts everything federation stands test
Independence Day: Resurgence,independence collection action adventure science fiction twentieth century film corporation centropolis entertainment entertainment stereo always knew coming back using recovered alien technology nations earth collaborated immense defense program protect planet nothing prepare aliens advanced unprecedented force ingenuity brave women bring world back brink extinction
Suicide Squad,action adventure crime fantasy science fiction comics dune entertainment atlas entertainment warner bros entertainment comics comes suicide squad antihero team incarcerated supervillains deniable assets united states government undertaking highrisk black missions exchange commuted prison sentences
Allegiant,divergent collection adventure science fiction summit entertainment lionsgate mandeville films wagon entertainment beatrice prior tobias eaton venture world outside fence taken protective custody mysterious agency known bureau genetic welfare
